id,name,categories,price,weight
7554fb51-782b-4a8a-86d6-5af0d4c97fe4,"Eugene Textiles Disney Dumbo: in The Circus Fat Quarter Bundle 12 Pcs, Multi Each",,6.99,1.2
d7dec0a5-981f-49fc-80e0-6d8c3c796b54,Assorted Super Hero Comic Book Design Super Hi High Bounce Rubber Balls (12),,8.97,5.6
f9ecd3e3-5544-430b-89a5-0029960a36b2,"Amscan 122086 Rainbow Butterfly Unicorn Kitty Diecut Banner, 10 1/2' x 10"", Multicolor",Toys & Games | Party Supplies | Banners,22.58,1.0
a8101699-da51-4a8e-b172-3ac9dc9b794d,"Creative Converting Shark Splash Plastic Tablecover, Rectangle, 54"" x 108""",Home & Kitchen | Event & Party Supplies | Decorations | Tablecovers,2.99,7.0
1e32fb2a-53ce-4d66-9e69-596104adce16,"Graco Solano 4-in-1 Convertible Crib, Gray, Easily Converts to Toddler Bed Day Bed or Full Bed, Three Position Adjustable Height Mattress, Assembly Required (Mattress Not Included)",Home & Kitchen | Furniture | Kids' Furniture,159.99,47.7
549ae200-8019-43cc-b853-4e297bdbc217,Battlefield 1 - Xbox One,Video Games | Xbox One,10.0,
8ef391b3-fe18-4bb1-906e-216418b6ffeb,Forum Novelties Men's Twisted Clown Latex Mask,"Clothing, Shoes & Jewelry | Costumes & Accessories | Men | Masks",14980.76,1.0
8d36ca67-8ea1-4025-a272-63ca7fdac62c,"Forum Novelties Female Zombie Severed Head Hanging Property, Multicolored","Clothing, Shoes & Jewelry | Costumes & Accessories | Women | Costumes & Cosplay Apparel | Costumes",666133440.0,5.6
13dbfdcc-bd21-4152-8fe3-4be747b2da21,"Creativity Street Die Cut Mardi Gras Paper Masks, Assorted Designs, 24 Pack (AC4651)",Toys & Games | Arts & Crafts,7.12,1.75
f42bd6f0-14d3-43fc-9081-4982e80aafe8,"Wallmonkeys GEN-16415-36 WM140707 Cute Baby Brown Cartoon Moose Peel and Stick Wall Decals (36 in H x 29 in W), Large",Baby Products | Nursery | Décor | Wall Décor | Stickers,45.63,1.16
